,class,image_path,name,xmax,xmin,ymax,ymin
53,2,7fecc6508e38c050551bb0a27bb5ec55.jpg,POTHOLES,192,192,192,192
54,9,97a35f63e54bbab1cbd3d3f0068c16c5.jpg,CLUTTER_SIDEWALK,192,192,192,192
55,3,0ba2a22e1f8aa653476ce5f957a85310.jpg,GARBAGE,192,192,192,192
56,8,c44b1a4dc62f0ea8e0d3288c19628cf0.jpg,SAND_ON_ROAD,192,192,192,192
57,3,866889ebae591abc60fdd250ea3eb773.jpg,GARBAGE,192,192,192,192
58,7,fa2a7f0a40ca918e1ca9feb4027cff96.jpg,BAD_BILLBOARD,192,192,192,192
59,3,cf91e1f58cff6cba07aafa147802532f.jpg,GARBAGE,192,192,192,192
60,9,cd6ad05e61ee246342826bf2c735029f.jpg,CLUTTER_SIDEWALK,192,192,192,192
61,3,4a0cf1ca978746b565200446a120f364.jpg,GARBAGE,192,192,192,192
62,3,dd6b7ec17090ad2a9257f3247044a75a.jpg,GARBAGE,192,192,192,192
63,2,fd280436ea1a7e27bcc99d4fa030ad4a.jpg,POTHOLES,192,192,192,192
64,3,cc070ed1148fef2de4416db60b01ee95.jpg,GARBAGE,192,192,192,192
65,3,e8bb70932d98e011b779c195bd47e5ce.jpg,GARBAGE,192,192,192,192
66,2,ae6e5e43aff48be9afcabefb18d33144.jpg,POTHOLES,192,192,192,192
67,3,829b5bd750a7592dcb416438f1a47a6a.jpg,GARBAGE,192,192,192,192
68,7,fb6e4ef15bcfc31b79339eb969daa6ac.jpg,BAD_BILLBOARD,192,192,192,192
69,3,1f437b53a3a8b9e86c0f55abc8d0442b.jpg,GARBAGE,192,192,192,192
70,3,fdabae5cd3d2362da0a0beea45d8f51e.jpg,GARBAGE,192,192,192,192
71,2,e63bb98f8426c8e2cc95a8fffaedec82.jpg,POTHOLES,192,192,192,192
72,3,07217b23cec3bd4ef0538c91a810904a.jpg,GARBAGE,192,192,192,192
73,3,6352a9edfa7eade9bcdbc7723a233318.jpg,GARBAGE,192,192,192,192
74,3,a7870f3db9a4d8f28d7f3761094a46a5.jpg,GARBAGE,192,192,192,192
75,3,bbc584cb4bb801e0bf4d9021947743b9.jpg,GARBAGE,192,192,192,192
76,3,94ffb71d445b127a3d9c5a13906cfc09.jpg,GARBAGE,192,192,192,192
77,7,977b733dfa0a725933e8dd3369d5ab1f.jpg,BAD_BILLBOARD,192,192,192,192
78,1,61b497963648b00f3213fea71af0fbf6.jpg,FADED_SIGNAGE,192,192,192,192
79,4,bb2054de41fe66067caf40ffe248a37d.jpg,CONSTRUCTION_ROAD,192,192,192,192
80,3,86b985617cf48fa5ed2ba2d52955062d.jpg,GARBAGE,192,192,192,192
81,3,4463cd270d417f988ed564b1d6ced0d4.jpg,GARBAGE,192,192,192,192
82,3,dcd8114acddf64512fc232cf6225a215.jpg,GARBAGE,192,192,192,192
83,4,1e1d6fae1a540611799dcc00a0686a55.jpg,CONSTRUCTION_ROAD,192,192,192,192
84,2,d9d7c1e943ab7a72c12e6c74e3199553.jpg,POTHOLES,192,192,192,192
85,4,e90f010b15482ee778a4069468482b9b.jpg,CONSTRUCTION_ROAD,192,192,192,192
86,7,8d421dd597e5ed80ee0ebf62a93da658.jpg,BAD_BILLBOARD,192,192,192,192
87,3,e7e1f0aee24a9a9efacc6ced4f738865.jpg,GARBAGE,192,192,192,192
88,8,05617c4bd3df79447165842ad3627493.jpg,SAND_ON_ROAD,192,192,192,192
89,3,74c0771e2418ae6cd4c2ce2a5d3cde1b.jpg,GARBAGE,192,192,192,192
90,0,3f11dbaf5d58e5f8be53a7cc7486903f.jpg,GRAFFITI,192,192,192,192
91,7,99ed80a349b01e5af06a492f0ea57d1d.jpg,BAD_BILLBOARD,192,192,192,192
92,4,cc4a24bf6bb5784a789f9486ca05cadd.jpg,CONSTRUCTION_ROAD,192,192,192,192
93,3,b4b573a9c85e8d1adc224d86915e05df.jpg,GARBAGE,192,192,192,192
94,3,622811929fdf2d380c12166e953e09d5.jpg,GARBAGE,192,192,192,192
95,0,96d97f329ffcdbabe21190588ee6cfe9.jpg,GRAFFITI,192,192,192,192
96,0,98b92aac96f726503e31a5b5dac22a45.jpg,GRAFFITI,192,192,192,192
97,7,94adf640c37c377d0303c0dfba753713.jpg,BAD_BILLBOARD,192,192,192,192
98,2,a444eed183b578cc00f2fe3cfa34cc5a.jpg,POTHOLES,192,192,192,192
99,3,9d06509575378d043166fcb536f7bb9f.jpg,GARBAGE,192,192,192,192
100,3,5dd0d85fdeb0e9d785276fec4ff08983.jpg,GARBAGE,192,192,192,192
101,0,292556f35373cfe83551c1a5102bd4a5.jpg,GRAFFITI,192,192,192,192
102,7,e514c112ad814cbb506213ddac77fe85.jpg,BAD_BILLBOARD,192,192,192,192
103,0,a966cfe7c38d95f2b2b7dd50c584b48b.jpg,GRAFFITI,192,192,192,192
104,2,9b88f61f17ffe7623dcddd8d20250c55.jpg,POTHOLES,192,192,192,192
105,3,843859d6449d8502f8c3d6942895bb68.jpg,GARBAGE,192,192,192,192
106,5,6709bf8ddcfd126c7d553f11dda7e9bc.jpg,BROKEN_SIGNAGE,192,192,192,192
107,3,db2b1b377c2e4937ba95d2db8b5564c9.jpg,GARBAGE,192,192,192,192
108,3,72a315be9cd2661d1d38ce43470bff45.jpg,GARBAGE,192,192,192,192
109,3,dbff9fd3827b430baa0ef9214d78080e.jpg,GARBAGE,192,192,192,192
110,2,6d0ca5a544f4232c12aabf378eca7132.jpg,POTHOLES,192,192,192,192
111,8,f4c8c6e64e4f4650c7e43f068ea3579c.jpg,SAND_ON_ROAD,192,192,192,192
112,3,16bff027619beb4ff1052bbcc5707e9d.jpg,GARBAGE,192,192,192,192
113,3,4cdbe388736e18644fbfcd5de252a8e2.jpg,GARBAGE,192,192,192,192
114,4,c79f8c658c9097c8d4598fdd013d9047.jpg,CONSTRUCTION_ROAD,192,192,192,192
115,8,fde045a36a5fa56a3fdb5d12c34d5705.jpg,SAND_ON_ROAD,192,192,192,192
116,3,6c86868845ad1fccb925668be8369fc6.jpg,GARBAGE,192,192,192,192
117,3,ab0870d8a1b14dc7c76b56614ff4420a.jpg,GARBAGE,192,192,192,192
118,3,d4486d5614aeacfcc3072ea3b156d363.jpg,GARBAGE,192,192,192,192
119,3,e54e4848355d39ab1dce55b47edcc33a.jpg,GARBAGE,192,192,192,192
120,0,64f70c7bedae38c5595b0c7d8e3198f6.jpg,GRAFFITI,192,192,192,192
121,3,87275e41608b3bb8e1f2b44b3c76a0de.jpg,GARBAGE,192,192,192,192
122,3,a39979a52b05782be731057be1532bd7.jpg,GARBAGE,192,192,192,192
123,7,0f69f4b3c6e1bd19b3498f62b05e5726.jpg,BAD_BILLBOARD,192,192,192,192
124,4,18a6db267af3792c42a2f0e354be3de6.jpg,CONSTRUCTION_ROAD,192,192,192,192
125,3,cf2ba44617ad634474bbbd0d1c8d734d.jpg,GARBAGE,192,192,192,192
126,4,ce15b4b522cffe70d5816fdf5943c78e.jpg,CONSTRUCTION_ROAD,192,192,192,192
127,8,d9eaa5589c84f1dc5bc76ee3ac052c24.jpg,SAND_ON_ROAD,192,192,192,192
128,3,0ed0d1a503c19b44e29f0ba8d5ee7b0e.jpg,GARBAGE,192,192,192,192
129,7,9641031a5c21147a4f59f7df96998134.jpg,BAD_BILLBOARD,192,192,192,192
130,9,45b4da3ceba3530bc9967a3e32ae8751.jpg,CLUTTER_SIDEWALK,192,192,192,192
131,3,29f2b4766c70dd9c7e4e4a5f015641e0.jpg,GARBAGE,192,192,192,192
132,3,b7c1a7d63e80cd98b4e9c25951062cb9.jpg,GARBAGE,192,192,192,192
133,3,f4d973d27afaaada1cb8fd964ef76094.jpg,GARBAGE,192,192,192,192
134,9,e37986d157cce080e33ad52abcb96a23.jpg,CLUTTER_SIDEWALK,192,192,192,192
135,3,bbfa8811cbbb803b600093f0e4894e66.jpg,GARBAGE,192,192,192,192
136,3,844adca64c13485e7310bbc7b1695971.jpg,GARBAGE,192,192,192,192
137,3,2c243ed432a8c07beb5cbedef253e555.jpg,GARBAGE,192,192,192,192
138,7,f6d5d0a3f62ec765cbe28a75d4148787.jpg,BAD_BILLBOARD,192,192,192,192
139,3,534a2bfb5597b75f64b097d3a2d8a9f4.jpg,GARBAGE,192,192,192,192
140,3,c265a7b0ca0396eb1205c08ea4f339d5.jpg,GARBAGE,192,192,192,192
141,3,692ebcd824a78e05f5c7f8fb5ec66060.jpg,GARBAGE,192,192,192,192
142,2,daa4badf3a3e98f534dae101ca9a42e6.jpg,POTHOLES,192,192,192,192
143,4,34ea119cbe04735526278b72143a65b5.jpg,CONSTRUCTION_ROAD,192,192,192,192
144,7,9c7ccb7965f0ae3741919c3c001eec79.jpg,BAD_BILLBOARD,192,192,192,192
145,9,d3c0778a7809adfb561841d91aaebf63.jpg,CLUTTER_SIDEWALK,192,192,192,192
146,3,db71aac7089532e83dbaf3d98c105e01.jpg,GARBAGE,192,192,192,192
147,3,85639459807c5638513a56b7bf6713c5.jpg,GARBAGE,192,192,192,192
148,3,40568ab9daa461a79c9e5d08a130baa0.jpg,GARBAGE,192,192,192,192
149,4,8667b7b88a9d3172b2f1bf6ffdc89d64.jpg,CONSTRUCTION_ROAD,192,192,192,192
150,3,07ab12aabf47cf31fc4ba7cc9b599ac0.jpg,GARBAGE,192,192,192,192
151,9,c1b6242723cb2fc796913093317a9850.jpg,CLUTTER_SIDEWALK,192,192,192,192
152,3,60223ff8d47d00dce595f952951e50c2.jpg,GARBAGE,192,192,192,192
153,3,7b61cc8c4f37f5bb5feaed95873f670f.jpg,GARBAGE,192,192,192,192
154,4,d1f2dad2de187f213c0b2a4d2290a4f3.jpg,CONSTRUCTION_ROAD,192,192,192,192
155,8,7a3d2416b3795577a590c2740d184b34.jpg,SAND_ON_ROAD,192,192,192,192
156,4,3f8b7ffbe9786e4b9dfc52772b4ddc29.jpg,CONSTRUCTION_ROAD,192,192,192,192
157,3,aeeea97dc3bf5e7a55095f9b4d6417fa.jpg,GARBAGE,192,192,192,192
158,3,c384ce5ff249da5678c210e6aabfb045.jpg,GARBAGE,192,192,192,192
159,9,a7a0068a7b1249cda6da4fd066494f29.jpg,CLUTTER_SIDEWALK,192,192,192,192
160,3,8effa1bbb86dbcd7000b1c7673113bce.jpg,GARBAGE,192,192,192,192
161,3,6f6a570e2155377e35df67f796d8575e.jpg,GARBAGE,192,192,192,192
162,3,433b7bd5d86108c1cbd7f29ebd9a5b04.jpg,GARBAGE,192,192,192,192
163,4,c80a9e3621c6df40428b9140bf3926ca.jpg,CONSTRUCTION_ROAD,192,192,192,192
164,3,35dd451ec4ae6b058f814fca2dc41180.jpg,GARBAGE,192,192,192,192
165,3,9ebb94e8d1e56693bfbe105ef747178c.jpg,GARBAGE,192,192,192,192
166,3,4ec8fb0886e1498142c9ce5f106e50fd.jpg,GARBAGE,192,192,192,192
167,2,89ac50a6e1bd88a78002eebc49522821.jpg,POTHOLES,192,192,192,192
168,3,6abe223779ee3a1889f4d520ce73ef39.jpg,GARBAGE,192,192,192,192
169,3,584e790ea7d2df3416b616ed86eaddeb.jpg,GARBAGE,192,192,192,192
170,3,5fd490035bc58eeab0a7b732fdf76bfd.jpg,GARBAGE,192,192,192,192
171,3,222e01018cc5a53629217ea08188cef8.jpg,GARBAGE,192,192,192,192
172,3,77833249bdd9303cc01d6d2e08fa8706.jpg,GARBAGE,192,192,192,192
173,2,e8e876099b47a4beaa24437c88a9bf6d.jpg,POTHOLES,192,192,192,192
174,3,2c5ea37a65a2b3127c6f7751eec92990.jpg,GARBAGE,192,192,192,192
175,7,66af6c008662158eb2667a9e372125ac.jpg,BAD_BILLBOARD,192,192,192,192
176,3,c8567e24bd5c0a9734ce69b6c8ce66ad.jpg,GARBAGE,192,192,192,192
177,3,51d2c6629f6e72f127b40e13bd74f034.jpg,GARBAGE,192,192,192,192
178,3,ee135225ef9406ad5210e5dba9446b60.jpg,GARBAGE,192,192,192,192
179,2,e05ced9a08868bf400d7a6851e1184ea.jpg,POTHOLES,192,192,192,192
180,3,ead293dd9b165be9313218dc4f7b37ed.jpg,GARBAGE,192,192,192,192
181,7,a5fc7b7c41b46cd3d7f7218e7d165a51.jpg,BAD_BILLBOARD,192,192,192,192
182,3,d6f7da3cd0b8a1e7aca128b2b85bc44e.jpg,GARBAGE,192,192,192,192
183,3,9c91f216822609089879c21e6e7c2341.jpg,GARBAGE,192,192,192,192
184,3,91ec873f6196111756845ca8e17508e9.jpg,GARBAGE,192,192,192,192
185,4,44577bc1d58bdb7237bba504713937da.jpg,CONSTRUCTION_ROAD,192,192,192,192
186,3,691ac30ec7f51eaef3e4440ac81288fa.jpg,GARBAGE,192,192,192,192
187,3,7bef9ac381b556a961e45df1df6ae1ac.jpg,GARBAGE,192,192,192,192
188,3,e755972c9f2f2299bd4eccf89c9375f6.jpg,GARBAGE,192,192,192,192
189,7,b06febe7e8706cdaa65019a44e639be4.jpg,BAD_BILLBOARD,192,192,192,192
190,3,c00bf757c8412aabd3113787515335e6.jpg,GARBAGE,192,192,192,192
191,3,b41a76b6e80dbb05e5abd39ec297c3a6.jpg,GARBAGE,192,192,192,192
192,4,8b84e05d2d6532cfb593357a9b422bff.jpg,CONSTRUCTION_ROAD,192,192,192,192
193,4,1d3f999e3eaccfd51ca731f549fedc56.jpg,CONSTRUCTION_ROAD,192,192,192,192
194,3,5394abfe9e1b1b3aa0b17fdeeba6cb17.jpg,GARBAGE,192,192,192,192
195,4,78a6e8ef17c742dfb279d12956cfcbc2.jpg,CONSTRUCTION_ROAD,192,192,192,192
196,3,b53e6271f6c01ba6a525beaab70ee2d5.jpg,GARBAGE,192,192,192,192
197,3,e296299575088e9ec8f78bf20ad96fe5.jpg,GARBAGE,192,192,192,192
198,3,98dc43ecc7ac4237ffd7a106d9902c1d.jpg,GARBAGE,192,192,192,192
199,3,8f2ae4df2f06c1134e3d880c6006911c.jpg,GARBAGE,192,192,192,192
200,3,114d922a62337a626b4f441ac2af6de9.jpg,GARBAGE,192,192,192,192
201,3,bc1dacf2edf2b295265edbfd5a146ac5.jpg,GARBAGE,192,192,192,192
202,7,07c43fbcec360c0629566c213990982b.jpg,BAD_BILLBOARD,192,192,192,192
203,3,6e4f5f05c3e16e758b3ccb2684ceff77.jpg,GARBAGE,192,192,192,192
204,3,d9cc3c9acb100a8d09ee453cb6ff36a3.jpg,GARBAGE,192,192,192,192
205,3,1e5bfb76ed408aa0794213e46c573541.jpg,GARBAGE,192,192,192,192
206,7,f38fdf3fcfd4d825dcdcc00e35ba7108.jpg,BAD_BILLBOARD,192,192,192,192
207,3,f3c187d799742aba7021b255aacda1a2.jpg,GARBAGE,192,192,192,192
208,3,eaf4e8aa6815bf68734eed1ddb8d2669.jpg,GARBAGE,192,192,192,192
209,7,26574919ee4a701f9f2f4e56bd6f8873.jpg,BAD_BILLBOARD,192,192,192,192
210,3,7c770d853be23fc4d787234cafb73284.jpg,GARBAGE,192,192,192,192
211,3,13c496479de528e9cb8cf2fd24765ffc.jpg,GARBAGE,192,192,192,192
212,3,83aee4dfadc7556be87c6f25594535df.jpg,GARBAGE,192,192,192,192
213,4,855337bffa69447ee75e4b5fd1d9a760.jpg,CONSTRUCTION_ROAD,192,192,192,192
214,3,1069dd5f933779d26440955e7612c376.jpg,GARBAGE,192,192,192,192
215,7,2084e198d68642cc2d9bbf0f556d1717.jpg,BAD_BILLBOARD,192,192,192,192
216,3,35bb95971813be2b0d02fcbd7aa5402a.jpg,GARBAGE,192,192,192,192
217,9,17b6a3341789e7b0cf18a2ebc8d5385c.jpg,CLUTTER_SIDEWALK,192,192,192,192
218,4,6765c29e1ed64eab60d9ad93188d4fda.jpg,CONSTRUCTION_ROAD,192,192,192,192
219,9,72bf3a0bfd8f5d868b0981b78c98884c.jpg,CLUTTER_SIDEWALK,192,192,192,192
220,9,3477b369a7a63a8cbd8a5427364b00c5.jpg,CLUTTER_SIDEWALK,192,192,192,192
221,2,d56476c16d9f25aa0742e733743ab902.jpg,POTHOLES,192,192,192,192
222,2,3a76e8346cb6b3de4dbc42357b16d9c7.jpg,POTHOLES,192,192,192,192
223,3,bac670721e47dbca1a74864b3c9488e0.jpg,GARBAGE,192,192,192,192
224,3,a0dfbebe02500fa510081844a14af848.jpg,GARBAGE,192,192,192,192
225,2,f917a56dc035cc3fbef2acefc86cf260.jpg,POTHOLES,192,192,192,192
226,3,dc28add22b763968c8ff588781664f69.jpg,GARBAGE,192,192,192,192
227,2,27fc7d8f8b14e7cf6b8a600c9ba84930.jpg,POTHOLES,192,192,192,192
228,2,018441aca0d10d25829c985bc400596b.jpg,POTHOLES,192,192,192,192
229,3,657c85e82c3ba558fbd2ae06f93ddcf7.jpg,GARBAGE,192,192,192,192
230,3,2e6bb40ea6d8f79436b26c02a7f30da9.jpg,GARBAGE,192,192,192,192
231,3,1b77abbde02fcef0c104fa5eee29155d.jpg,GARBAGE,192,192,192,192
232,3,f96272c164d233e5ca0b371b854158e6.jpg,GARBAGE,192,192,192,192
233,3,9c29ae59cb19392ae2bf9e91d89cda5e.jpg,GARBAGE,192,192,192,192
234,4,bc3dd868389a8118979de1a4d03ce47a.jpg,CONSTRUCTION_ROAD,192,192,192,192
235,7,ed02060462167027a21bd2e238e53e36.jpg,BAD_BILLBOARD,192,192,192,192
236,4,e79f0731fe7dec78d8798f16dc36c24f.jpg,CONSTRUCTION_ROAD,192,192,192,192
237,3,de9c3c092d2405029fb360c5c7a4d1be.jpg,GARBAGE,192,192,192,192
238,3,ad295935db1df3b415f928589317591f.jpg,GARBAGE,192,192,192,192
239,3,4214f9a9854acf0ec6d65b4f9a05cf92.jpg,GARBAGE,192,192,192,192
240,2,f0bd46e8938b7389363fdde0f3bbf323.jpg,POTHOLES,192,192,192,192
241,9,03eab36eff5829fe7c8fcc12ef0db6fe.jpg,CLUTTER_SIDEWALK,192,192,192,192
242,2,1e821bc00f2333f479d9c268161e8386.jpg,POTHOLES,192,192,192,192
243,3,dbfc319364fdc777df4e97e1a6e0d4a6.jpg,GARBAGE,192,192,192,192
244,7,71c619f8bf8ef964c38ea9d9a3fb6424.jpg,BAD_BILLBOARD,192,192,192,192
245,3,997ce1ea7dd7f0b92954bf14ba38e9ff.jpg,GARBAGE,192,192,192,192
246,7,66b29078568995c63cea4803e5611a46.jpg,BAD_BILLBOARD,192,192,192,192
247,3,e205368e71a4e94e1e3d41109cf2c6b0.jpg,GARBAGE,192,192,192,192
248,7,30e9b118985c00e3a2a49d2122fa841a.jpg,BAD_BILLBOARD,192,192,192,192
249,3,db289f9f5939f6403e294f674dd7e658.jpg,GARBAGE,192,192,192,192
250,3,4113fffd4607340a22dfaa58c317a5c0.jpg,GARBAGE,192,192,192,192
251,3,d91a8610508fdf9434bfed1b68299b9b.jpg,GARBAGE,192,192,192,192
252,7,d2c6fff93742b9f3a89b38be450676d2.jpg,BAD_BILLBOARD,192,192,192,192
253,3,70d4b859467648836e038fd5ae1494d9.jpg,GARBAGE,192,192,192,192
254,3,89b767ea95fb4277660c6e354e7ddd85.jpg,GARBAGE,192,192,192,192
255,2,ade23fb364c779076ed25cd8589166ba.jpg,POTHOLES,192,192,192,192
256,7,3450cbeb3320d5e4f52a4c226fb37b03.jpg,BAD_BILLBOARD,192,192,192,192
257,7,95079e15ff2d19e1e1f26c656323a8fd.jpg,BAD_BILLBOARD,192,192,192,192
258,3,e6ff70b13a659f6e32ad45f3f29a8bd6.jpg,GARBAGE,192,192,192,192
259,3,22513a0eba1dd917ad337942d174316e.jpg,GARBAGE,192,192,192,192
260,7,e58f59b523d8a974cb56ec9c16cf6f45.jpg,BAD_BILLBOARD,192,192,192,192
261,3,1cc45c417b8f67f7a14287c6b64cb73a.jpg,GARBAGE,192,192,192,192
262,3,36b7284b420a3965afbc03d7d7f5e532.jpg,GARBAGE,192,192,192,192
263,9,386fbef0ddd206c8e2955c16c9b36195.jpg,CLUTTER_SIDEWALK,192,192,192,192
264,4,c5166084f640adf6ccb00355127ad358.jpg,CONSTRUCTION_ROAD,192,192,192,192
265,0,357d4331ee6986f575452016526a60c0.jpg,GRAFFITI,192,192,192,192
266,3,0dc119aa65a3064a659d3d763b82c717.jpg,GARBAGE,192,192,192,192
267,3,43e38d0247360f5f777fbeef4baf9701.jpg,GARBAGE,192,192,192,192
268,3,f0d14d315b426f604242ac18f9d1ab16.jpg,GARBAGE,192,192,192,192
269,3,71b75e1edb38f6e2b6740ac22bdba47e.jpg,GARBAGE,192,192,192,192
270,3,b1a64fc1b6c0d7527b30f459be059ef0.jpg,GARBAGE,192,192,192,192
271,3,b833ecf2db26c265a6acbec12445e1b2.jpg,GARBAGE,192,192,192,192
272,9,fccd79371724e5a9aa63e2e7888dfe65.jpg,CLUTTER_SIDEWALK,192,192,192,192
273,2,3c9c8bf9593ea4b9567da8c251098a2c.jpg,POTHOLES,192,192,192,192
274,3,7d469f5e480b239d6070e78d179c3e1a.jpg,GARBAGE,192,192,192,192
275,3,c6933a6d1e01e05a7860bd688b7eb9f7.jpg,GARBAGE,192,192,192,192
276,3,f7a675f2cf2b99b16d349fe65598fca4.jpg,GARBAGE,192,192,192,192
277,3,75275313b6a1e4076d104382a69954a6.jpg,GARBAGE,192,192,192,192
278,9,3ca91b8ef770685b706fd0c2280bf8cf.jpg,CLUTTER_SIDEWALK,192,192,192,192
279,9,754633c0e0d731061fa7c45b4d543fdb.jpg,CLUTTER_SIDEWALK,192,192,192,192
280,3,1ba11a60213e9867c14205b91e1d115f.jpg,GARBAGE,192,192,192,192
281,9,42735eb9b207886a4cade197d87a84fe.jpg,CLUTTER_SIDEWALK,192,192,192,192
282,0,1e266d8d164eb734dc04032a2a4e20ce.jpg,GRAFFITI,192,192,192,192
283,7,6ad16a6419750f245b37bef7107d0f66.jpg,BAD_BILLBOARD,192,192,192,192
284,0,e895a87a394612fc092f1cc1de08e415.jpg,GRAFFITI,192,192,192,192
285,3,92b7e62144d5175c859bfda4d388b6db.jpg,GARBAGE,192,192,192,192
286,3,8b2c77725e46f1fc311225138275db82.jpg,GARBAGE,192,192,192,192
287,3,745eddd22581b5aa8aa0e5cd1f3e05b2.jpg,GARBAGE,192,192,192,192
288,3,7cffa9959bc80dc4b10dd67917eab1e5.jpg,GARBAGE,192,192,192,192
289,3,678444d4178dd666cca18412d1025497.jpg,GARBAGE,192,192,192,192
290,3,c6de04a65fa6782b2478e6640584303b.jpg,GARBAGE,192,192,192,192
291,3,295663526a9375ea2064b8cf69a3704b.jpg,GARBAGE,192,192,192,192
292,3,5847f6b3d8c27bd5942298eaced02fd4.jpg,GARBAGE,192,192,192,192
293,3,859cc4f2300247bf025ea6233e4c49b8.jpg,GARBAGE,192,192,192,192
294,3,153bd30674e673359e6a324305940ecd.jpg,GARBAGE,192,192,192,192
